id,ticket_id,author_id,created_at,body
e804f744-1a73-4c65-afe6-f6404deb52b1,510d0d10-493f-4b21-8a65-d6b3e68a3613,16e0cba6-7525-493e-90f6-94c42f04344d,2026-07-28 15:00:00,"Tried a different charger and outlet, still nothing. Even the charging light doesn't come on."
774e02c6-4242-48c7-8729-fcde4ef7ad61,5ff74802-8358-4e55-b1ef-c05a272fd18c,160c56e3-188e-4864-a5ff-735dc4153e93,2026-07-29 11:00:00,"Thanks for reporting this. Can you confirm which version of Outlook you're running and whether the calendar is syncing too, or just email?"
c792db76-9866-4a85-8fc8-aef38c8737ca,5ff74802-8358-4e55-b1ef-c05a272fd18c,16e0cba6-7525-493e-90f6-94c42f04344d,2026-07-29 13:20:00,"It's the Microsoft 365 version. Calendar is syncing fine, it's only new emails that aren't coming through."
151bcc14-64fe-44a8-955f-b5ba42017af5,5ff74802-8358-4e55-b1ef-c05a272fd18c,160c56e3-188e-4864-a5ff-735dc4153e93,2026-07-30 09:00:00,"Got it, that narrows it down. Looking into the mailbox sync settings now, will update you shortly."
00e4fb91-b26d-4dfe-ba86-f3bfd89cb055,3e33fd94-fb70-4fb5-9a1b-d5dbc203de21,160c56e3-188e-4864-a5ff-735dc4153e93,2026-07-31 09:00:00,"Could you try swapping the HDMI cable for a spare if you have one? Want to rule out a cable fault first."
358cd04c-6295-4675-b0dd-a1aebcce58dc,3e33fd94-fb70-4fb5-9a1b-d5dbc203de21,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-07-31 15:00:00,"Don't have a spare on hand, but I tried a different HDMI port on the laptop and it's still flickering."
578498e2-a47b-4501-84fc-d26e7ec7b74e,3e33fd94-fb70-4fb5-9a1b-d5dbc203de21,160c56e3-188e-4864-a5ff-735dc4153e93,2026-08-01 08:30:00,"Understood, sounds like the cable then. I'll drop a new HDMI cable at your desk this morning."
b26ab15c-3000-4be9-aa9d-19f8ae617586,3e33fd94-fb70-4fb5-9a1b-d5dbc203de21,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-08-01 09:00:00,"New cable fixed it, no more flickering. Thanks for the quick turnaround!"
a1368090-0929-4b6b-aa4f-70a1857f2b52,ff20159e-6c15-4568-b8a2-6ad6ba3d1714,160c56e3-188e-4864-a5ff-735dc4153e93,2026-08-01 09:30:00,"Can you send a screenshot of the exact error message you're seeing when the VPN times out?"
f10d51c9-a515-44cb-b164-75d2949f1448,ff20159e-6c15-4568-b8a2-6ad6ba3d1714,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-08-01 10:15:00,"It just says 'Connection timed out, please check your network settings' and then disconnects after about 30 seconds."
56961627-d14e-4dd9-ae99-fc03b89d1db3,ff20159e-6c15-4568-b8a2-6ad6ba3d1714,160c56e3-188e-4864-a5ff-735dc4153e93,2026-08-02 09:00:00,"Found it, your VPN profile had a corrupted certificate. Reissued it and reinstalled the client remotely, please try connecting again."
ac5e46c0-f4d2-4d02-972a-6093d6887861,ff20159e-6c15-4568-b8a2-6ad6ba3d1714,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-08-02 09:45:00,"That worked, connected on the first try. Appreciate the quick fix."
fc06d31c-5426-47cd-a8e1-b5adbeb4263c,ff20159e-6c15-4568-b8a2-6ad6ba3d1714,160c56e3-188e-4864-a5ff-735dc4153e93,2026-08-02 10:00:00,"Great, glad it's sorted. Closing this ticket out now."
19e1a2c2-729a-475a-8d40-406d1757421f,6b763327-052b-463c-8921-5d06142f4276,15f9737e-215e-4dc7-9408-7705acbfc545,2026-08-05 14:00:00,"Happy to help with this. Could you let me know the purpose of the NOC so I include the right wording?"
2dcdb3e5-e533-4752-b818-e97fdfb448da,6b763327-052b-463c-8921-5d06142f4276,16e0cba6-7525-493e-90f6-94c42f04344d,2026-08-05 14:30:00,"It's for a visa application, they just need confirmation of my current role and salary."
7308cff0-b809-40bf-b53c-dcb186d27cf0,6b763327-052b-463c-8921-5d06142f4276,15f9737e-215e-4dc7-9408-7705acbfc545,2026-08-06 09:00:00,"Noted, I'm preparing it now and it should be ready for you within two business days."
dec0b221-4dbd-4b5b-b1c5-6a9b486c1ad5,045fa94a-1500-4b21-9ef4-725c2697ec12,15f9737e-215e-4dc7-9408-7705acbfc545,2026-08-06 16:00:00,"Sorry to hear about the emergency, your leave is approved effective immediately. Let us know if you need anything else."
8a2ed41b-4345-48d7-9889-1576b6618225,045fa94a-1500-4b21-9ef4-725c2697ec12,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-08-06 16:10:00,"Thank you so much for the quick approval, really appreciate it."
65f51eb3-1db0-4ef8-8322-9146ede0d955,91ac50e3-e963-43e7-99f2-215a1fd12b1f,15f9737e-215e-4dc7-9408-7705acbfc545,2026-08-07 10:30:00,"Sure thing, could you confirm the bank name and whether you need it addressed to them directly?"
b67da22b-f152-465d-b026-8913ae6a990b,91ac50e3-e963-43e7-99f2-215a1fd12b1f,62b6ea27-986a-4d1b-b2f7-fefde2c8148b,2026-08-07 11:00:00,"It's for Emirates NBD, yes please address it directly to the bank."
2efcfb79-e21e-4655-b321-ec2a7e52ea24,91ac50e3-e963-43e7-99f2-215a1fd12b1f,15f9737e-215e-4dc7-9408-7705acbfc545,2026-08-08 09:30:00,"Certificate has been issued and emailed to you and the bank directly."
